iter	Passed	Remaining
0	7	7058
1	10	4990
2	15	5091
3	18	4513
4	20	4042
5	22	3728
6	24	3500
7	30	3721
8	33	3649
9	35	3500
10	37	3383
11	39	3279
12	44	3356
13	46	3296
14	49	3256
15	51	3183
16	53	3116
17	56	3059
18	61	3181
19	64	3144
20	66	3108
21	68	3064
22	71	3025
23	77	3133
24	79	3096
25	81	3054
26	83	3010
27	85	2983
28	90	3027
29	93	3008
30	95	2995
31	97	2962
32	99	2928
33	101	2895
34	106	2928
35	108	2916
36	111	2914
37	113	2883
38	116	2858
39	118	2832
40	123	2888
41	125	2870
42	127	2845
43	130	2825
44	132	2802
45	136	2826
46	138	2813
47	141	2802
48	143	2782
49	145	2763
50	147	2743
51	152	2788
52	155	2783
53	157	2765
54	159	2747
55	161	2730
56	163	2712
57	169	2745
58	171	2730
59	173	2714
60	176	2709
61	178	2704
62	184	2741
63	189	2766
64	192	2773
65	197	2796
66	203	2833
67	206	2824
68	208	2817
69	216	2870
70	219	2865
71	221	2854
72	223	2842
73	225	2826
74	230	2847
75	233	2839
76	236	2830
77	238	2822
78	240	2806
79	245	2819
80	248	2814
81	250	2801
82	252	2786
83	254	2772
84	256	2758
85	261	2779
86	263	2766
87	265	2752
88	267	2739
89	269	2726
90	271	2714
91	276	2732
92	279	2726
93	281	2714
94	283	2703
95	285	2691
96	287	2679
97	290	2675
98	292	2664
99	294	2653
100	296	2642
101	298	2631
102	300	2619
103	310	2673
104	313	2670
105	315	2663
106	321	2683
107	325	2686
108	327	2677
109	329	2667
110	331	2657
111	335	2661
112	337	2650
113	339	2640
114	341	2630
115	343	2619
116	345	2611
117	348	2601
118	352	2606
119	354	2596
120	356	2587
121	358	2576
122	361	2577
123	365	2584
124	369	2589
125	372	2583
126	374	2576
127	376	2567
128	378	2558
129	382	2556
130	383	2547
131	386	2538
132	388	2530
133	390	2521
134	392	2512
135	396	2519
136	398	2512
137	400	2503
138	402	2495
139	404	2487
140	406	2479
141	410	2479
142	413	2476
143	415	2471
144	418	2464
145	420	2457
146	422	2449
147	424	2441
148	426	2437
149	429	2432
150	432	2430
151	434	2423
152	436	2415
153	438	2407
154	441	2407
155	443	2401
156	446	2394
157	448	2387
158	450	2380
159	452	2373
160	454	2366
161	456	2363
162	459	2358
163	461	2353
164	463	2346
165	465	2339
166	467	2333
167	470	2331
168	472	2325
169	475	2319
170	477	2312
171	479	2306
172	481	2299
173	483	2293
174	486	2291
175	488	2287
176	491	2286
177	493	2280
178	494	2269
179	496	2263
180	497	2251
181	499	2246
182	502	2243
183	504	2237
184	506	2233
185	509	2229
186	510	2220
187	512	2215
188	515	2213
189	518	2210
190	522	2212
191	524	2208
192	528	2209
193	531	2209
194	534	2207
195	536	2202
196	538	2196
197	540	2190
198	542	2185
199	545	2182
200	548	2178
201	550	2173
202	552	2168
203	554	2163
204	556	2158
205	558	2153
206	562	2153
207	564	2148
208	566	2143
209	568	2137
210	570	2132
211	572	2127
212	576	2131
213	580	2130
214	582	2127
215	584	2122
216	586	2117
217	589	2112
218	592	2112
219	594	2107
220	596	2102
221	598	2097
222	600	2092
223	608	2109
224	612	2108
225	614	2103
226	616	2099
227	618	2094
228	620	2089
229	623	2088
230	625	2083
231	627	2078
232	629	2073
233	632	2069
234	634	2064
235	636	2059
236	639	2057
237	641	2052
238	643	2047
239	645	2043
240	647	2038
241	649	2035
242	652	2032
243	654	2029
244	656	2024
245	658	2019
246	661	2016
247	664	2014
248	666	2010
249	669	2008
250	671	2003
251	673	1999
252	675	1994
253	677	1990
254	680	1987
255	682	1984
256	685	1980
257	687	1976
258	690	1975
259	692	1972
260	696	1971
261	700	1973
262	703	1972
263	706	1968
264	708	1964
265	710	1960
266	712	1956
267	715	1955
268	718	1951
269	720	1947
270	722	1942
271	724	1938
272	726	1933
273	729	1933
274	731	1928
275	733	1924
276	735	1919
277	737	1915
278	739	1911
279	741	1907
280	745	1906
281	747	1903
282	749	1899
283	751	1895
284	753	1891
285	755	1886
286	758	1884
287	760	1881
288	763	1877
289	764	1872
290	766	1868
291	768	1864
292	770	1860
293	773	1858
294	776	1855
295	778	1851
296	780	1847
297	782	1843
298	784	1839
299	786	1834
300	789	1834
301	791	1830
302	793	1826
303	795	1822
304	797	1818
305	799	1813
306	801	1810
307	804	1808
308	807	1805
309	809	1802
310	811	1798
311	813	1794
312	815	1790
313	819	1789
314	821	1786
315	823	1782
316	825	1778
317	827	1774
318	829	1770
319	831	1767
320	835	1767
321	837	1764
322	839	1760
323	842	1756
324	844	1753
325	846	1750
326	848	1746
327	851	1744
328	853	1740
329	855	1736
330	857	1732
331	859	1729
332	862	1727
333	865	1726
334	869	1725
335	871	1723
336	874	1720
337	876	1716
338	878	1712
339	883	1714
340	885	1712
341	888	1709
342	891	1706
343	893	1704
344	901	1711
345	903	1708
346	905	1704
347	907	1700
348	910	1698
349	912	1695
350	915	1692
351	917	1689
352	919	1685
353	921	1681
354	923	1678
355	926	1676
356	929	1673
357	931	1669
358	933	1666
359	935	1662
360	937	1658
361	939	1655
362	942	1653
363	944	1651
364	947	1648
365	949	1645
366	951	1641
367	953	1637
368	956	1635
369	959	1633
370	961	1629
371	963	1626
372	965	1623
373	967	1619
374	969	1616
375	972	1614
376	975	1611
377	977	1607
378	979	1604
379	981	1600
380	983	1597
381	985	1593
382	988	1592
383	990	1589
384	992	1585
385	994	1582
386	996	1578
387	998	1575
388	1000	1571
389	1003	1569
390	1007	1568
391	1009	1566
392	1012	1563
393	1014	1559
394	1017	1558
395	1019	1554
396	1021	1551
397	1023	1548
398	1025	1544
399	1027	1541
400	1029	1537
401	1033	1537
402	1036	1535
403	1039	1533
404	1041	1529
405	1043	1526
406	1045	1523
407	1049	1522
408	1051	1520
409	1053	1516
410	1055	1513
411	1058	1510
412	1060	1506
413	1063	1505
414	1065	1502
415	1067	1499
416	1070	1495
417	1072	1492
418	1074	1489
419	1076	1486
420	1079	1484
421	1081	1481
422	1083	1478
423	1086	1475
424	1089	1473
425	1091	1470
426	1094	1468
427	1097	1466
428	1099	1464
429	1102	1460
430	1104	1457
431	1106	1454
432	1109	1452
433	1111	1449
434	1113	1445
435	1115	1442
436	1117	1439
437	1119	1436
438	1121	1432
439	1124	1430
440	1126	1427
441	1128	1424
442	1130	1421
443	1132	1418
444	1134	1414
445	1136	1411
446	1139	1409
447	1141	1406
448	1144	1404
449	1146	1401
450	1148	1398
451	1150	1395
452	1152	1391
453	1155	1389
454	1158	1387
455	1160	1384
456	1162	1380
457	1164	1377
458	1166	1374
459	1169	1372
460	1171	1369
461	1173	1366
462	1180	1369
463	1184	1368
464	1189	1368
465	1191	1365
466	1193	1362
467	1195	1359
468	1197	1356
469	1201	1354
470	1204	1352
471	1206	1350
472	1209	1348
473	1212	1345
474	1214	1342
475	1218	1341
476	1221	1339
477	1223	1336
478	1225	1333
479	1226	1329
480	1230	1328
481	1233	1326
482	1237	1324
483	1239	1321
484	1241	1318
485	1243	1315
486	1246	1313
487	1249	1310
488	1251	1308
489	1253	1304
490	1255	1301
491	1258	1299
492	1261	1297
493	1264	1295
494	1266	1292
495	1268	1289
496	1270	1286
497	1274	1284
498	1277	1282
499	1280	1280
500	1283	1277
501	1285	1274
502	1287	1272
503	1291	1270
504	1294	1268
505	1296	1265
506	1298	1262
507	1300	1259
508	1302	1256
509	1305	1254
510	1308	1251
511	1310	1248
512	1312	1245
513	1314	1243
514	1317	1240
515	1320	1238
516	1323	1236
517	1325	1233
518	1328	1230
519	1330	1228
520	1332	1225
521	1334	1222
522	1338	1220
523	1340	1217
524	1342	1214
525	1346	1213
526	1348	1210
527	1352	1208
528	1355	1206
529	1357	1203
530	1359	1201
531	1362	1198
532	1364	1195
533	1368	1194
534	1373	1193
535	1376	1191
536	1379	1189
537	1383	1187
538	1386	1185
539	1387	1182
540	1390	1179
541	1392	1176
542	1394	1173
543	1397	1171
544	1401	1169
545	1403	1167
546	1405	1164
547	1408	1161
548	1410	1159
549	1414	1157
550	1417	1155
551	1419	1152
552	1421	1149
553	1423	1145
554	1427	1144
555	1430	1142
556	1432	1139
557	1436	1138
558	1438	1135
559	1443	1134
560	1446	1132
561	1450	1130
562	1452	1127
563	1454	1124
564	1458	1122
565	1463	1121
566	1465	1119
567	1468	1116
568	1475	1117
569	1479	1116
570	1482	1113
571	1484	1110
572	1486	1107
573	1490	1106
574	1492	1103
575	1494	1100
576	1496	1097
577	1498	1093
578	1500	1090
579	1501	1087
580	1504	1085
581	1507	1082
582	1509	1079
583	1511	1076
584	1513	1073
585	1515	1071
586	1520	1070
587	1523	1067
588	1525	1064
589	1527	1061
590	1530	1058
591	1531	1055
592	1537	1055
593	1539	1052
594	1542	1050
595	1544	1047
596	1546	1044
597	1551	1042
598	1554	1040
599	1558	1038
600	1560	1035
601	1562	1032
602	1567	1031
603	1569	1028
604	1571	1025
605	1573	1023
606	1575	1020
607	1577	1017
608	1582	1015
609	1584	1012
610	1586	1010
611	1588	1007
612	1590	1004
613	1592	1001
614	1596	999
615	1599	996
616	1601	994
617	1603	991
618	1605	988
619	1608	985
620	1611	983
621	1614	980
622	1616	977
623	1618	975
624	1620	972
625	1622	969
626	1624	966
627	1627	963
628	1629	960
629	1631	957
630	1633	955
631	1635	952
632	1637	949
633	1641	947
634	1643	944
635	1645	941
636	1647	938
637	1649	935
638	1651	932
639	1653	930
640	1657	928
641	1661	926
642	1663	923
643	1665	920
644	1667	917
645	1669	914
646	1673	912
647	1675	910
648	1677	907
649	1679	904
650	1682	901
651	1684	898
652	1688	897
653	1690	894
654	1693	891
655	1695	889
656	1697	886
